pt,en
que,what
não,no
o,O
de,in
a,The
é,It is
você,you
e,and
eu,I
um,a
para,for
está,it is
uma,one
se,if
com,with
por,per
ele,he
isso,that
em,in
do,of
me,me
mas,but
como,as
bem,well
da,gives
no,at the
os,you
ela,Is it over there
na,at
sim,yea
aqui,here
mais,most
tem,has
meu,mine
seu,your
muito,much
foi,he was
as,at
vai,go
sua,your
estou,I am
vamos,we will
tudo,all
minha,my
só,only
então,then
pode,he can
agora,now
vou,I'm going
ser,to be
quando,When
sei,know
eles,they
nós,we
tenho,have
te,you
estava,was
certo,right
quer,would you like
sabe,You know
já,already
era,was
nos,us
quem,who
ou,or
ao,to
nada,anything
disse,said
há,there is
lá,there
onde,Where
quero,I want
bom,Good
ter,to have
sou,I am
são,are
dizer,to say
posso,I can
acho,think
sobre,about
mim,me
porque,why
mesmo,same
coisa,thing
todos,all
estão,they are
algo,something
até,up until
tempo,time
assim,so
nunca,Never
vocês,you
esse,that
casa,House
quê,what
essa,That
à,The
ver,to see
também,also
pra,for
ainda,still
tão,so
dos,From
cara,face
favor,favor
ir,go
melhor,best
noite,night
sem,without
temos,we have
obrigado,thanks
dia,day
talvez,perhaps
pai,dad
estamos,we are
esta,it is
deus,God
alguém,somebody
mãe,mother
vida,life
senhor,Mr
este,This one
isto,this
sempre,ever
anos,years old
vez,turn
verdade,truth
seus,their
dele,his
ficar,stay
parece,looks
oh,Oh
claro,clear
depois,later
tinha,had
falar,speak
coisas,stuff
antes,before
pessoas,people
pouco,little
pelo,fur
preciso,need
apenas,only
homem,men
deve,he must
nem,nor
boa,Good
dois,two
fazendo,making
todo,all
lugar,place
faz,does
acha,he thinks
fez,did
aí,there
fora,outside
estar,be
qual,which
disso,from that
trabalho,job
precisa,need
das,of
hoje,today
ninguém,nobody
novo,new
queria,I wanted
ei,Hey
comigo,with me
mundo,world
saber,know
alguma,some
dar,to give
podemos,we can
grande,great
sinto,I feel
seja,be
nossa,Wow
poderia,could
dinheiro,money
suas,your
será,it will be
nome,Name
quanto,how much
qualquer,any
pela,for the
outro,other
vá,go
lhe,him
dela,her
nosso,our
oi,Hi
meus,my
desculpe,excuse me
filho,son
certeza,certainty
vão,they go
hora,hour
ok,OK
outra,other
sair,go out
toda,all
volta,return
problema,problem
obrigada,Thanks
olá,Hello
tipo,type
realmente,really
sabia,you knew
aconteceu,it happened
menos,any less
mulher,women
algum,any
diga,say
falando,talking
espere,wait
ótimo,excellent
carro,car
vezes,times
amigo,friend
primeiro,first
deveria,it should
seria,would be
venha,come
três,three
entre,in between
daqui,from here
sério,for real
diz,it says
voltar,come back
ah,ah
parte,part
amor,love
feliz,happy
às,at
viu,it saw
embora,although
família,family
olhe,look
deixar,leave
atrás,back
tenha,you have
faça,Knife
pensei,I thought
ajudar,help
todas,all
olha,look
aquele,that one
duas,two
querida,Honey
frente,front
vi,saw
indo,going
alguns,some
dias,days
fui,I went
vem,he comes
lado,side
podem,they can
fiz,I did
merda,Shit
nas,in the
pare,Stop
tarde,afternoon
gosto,taste
precisamos,We need
caso,case
fique,stay
dentro,inside
cidade,City
momento,time
pegar,take
foram,were
nenhum,none
gente,people
somos,are
amanhã,tomorrow
fosse,were
cabeça,head
gostaria,would
amigos,friends
mal,bad
enquanto,While
homens,men
logo,soon
deles,their
desde,since
tanto,so much
garota,girl
pessoa,person
legal,cool
amo,master
rápido,fast
algumas,some
cada,each
jeito,way
tentando,trying
meio,quite
outros,others
têm,has
medo,fear
minhas,my
importa,it matters
irmão,brother
errado,wrong
história,story
primeira,first
quase,almost
horas,hours
encontrar,meet
nova,new
essas,these
pessoal,guys
dá,from the
difícil,difficult
forma,form
contra,against
matar,to kill
semana,week
dizendo,saying
perto,near
demais,too much
entrar,log in
esses,Those
deu,He gave
deu,He gave
achei,I found
deixe,leave
vejo,I see
polícia,police
espero,I expect
sido,has been
juntos,together
ajuda,help
ano,year
caminho,way
nisso,in that
elas,they
quiser,he wants
crianças,children
manhã,morning
for,either
aquela,that one
sorte,luck
morte,death
pensar,think
papai,dad
aos,to the
ali,there
veja,Look
fica,stay
teve,had
quarto,bedroom
levar,to take
filha,daughter
feito,done
minutos,minute
morto,dead
porta,door
tive,I had
entendo,I understand
cima,top
acabou,ended
tá,OK
chegar,to arrive
num,on one
veio,he came
água,Water
mesma,same
dê,in
significa,means
teria,it would have
pronto,ready
esposa,wife
vir,come over
acredito,I believe
ouvir,to hear
gosta,he likes
morrer,to die
nossos,ours
olhos,eyes
garoto,boy
última,last
coração,heart
contar,tell
importante,important
jogo,match
acontecendo,happening
razão,reason
mãos,hands
devo,owe
ideia,idea
consigo,I can
idiota,idiot
passar,pass
havia,there were
problemas,problems
parar,to stop
senhora,Lady
fim,The end
corpo,body
chefe,boss
poder,power
mamãe,mommy
ia,ia
cuidado,caution
começar,to start
espera,wait
ficou,stayed
conta,account
exatamente,exactly
arma,weapon
longe,far away
escola,school
tentar,try
pois,then
terra,Earth
droga,damn it
ontem,yesterday
pensando,thinking
única,only
devia,should
sendo,being
causa,cause
guerra,war
chance,chance
usar,to use
marido,husband
mão,hand
tal,such
numa,in
trabalhar,to work
sangue,blood
música,song
esperar,wait
querem,want
uns,some
nenhuma,none
tivesse,have
digo,I say
estranho,weird
maior,larger
velho,old
faço,I do
boca,mouth
houve,there was
festa,party
estavam,They were
fala,speaks
mulheres,women
conhece,you know
ouvi,I heard
tirar,to throw
esperando,waiting
podia,could
licença,license
capitão,captain
preocupe,worry
comer,eat
fácil,easy
deixa,he leaves
novamente,again
além,in addition
irmã,sister
meses,months
eram,they were
suficiente,enough
pais,country
segundo,second
sabemos,We know
muitas,many
cinco,five
bebê,drinks
matou,killed
querido,Dear
muita,lots of
idéia,idea
saia,get out
muitos,Many
número,number
vê,see
deixou,he left
conseguir,get
lembra,remember
dessa,of that
morreu,he died
tomar,to take
the,The
bastante,quite
neste,in this
maneira,manner
quatro,four
filhos,sons
acontecer,happen
criança,child
dormir,to sleep
durante,during
possa,be likely to
desse,of that
vindo,coming
certa,certain
café,coffee
possível,possible
casamento,wedding
irá,will
acordo,wake up
quis,wanted
equipe,team
conheço,I know
ruim,bad
culpa,fault
jantar,dinner
provavelmente,probably
consegue,it achieves
telefone,telephone
esteja,is
mil,thousand
i,I
forte,strong
sentir,to feel
viver,to live
chegou,has arrived
diferente,different
sozinho,alone
prazer,pleasure
pergunta,question
procurando,looking for
iria,I would go
terá,will have
conseguiu,got
outras,others
final,Final
minuto,minute
sala,living room
chega,he arrives
único,single
nossas,our
falta,lack
desta,of this
aquilo,that one
incrível,incredible
devemos,we must
direito,right
nessa,in that
vivo,alive
mudar,change
faria,would make
porra,Cum
perder,lose
falou,said
segurança,safety
pagar,pay
plano,plan
descobrir,to discover
conversar,to talk
achar,find
próxima,next
sabem,They know
comida,food
pegue,take it
diabos,hell
trás,back
jovem,young
trouxe,brought
acreditar,believe
olhar,to look
cama,bed
ponto,Score
passado,past
pena,feather
colocar,put on
tchau,bye
nesse,in that
fale,speak
ouça,listen up
nele,in him
calma,calm
filme,movie
pedir,ask
paz,peace
sente,feel
louco,Crazy
palavra,word
cá,here
pequeno,small
john,John
caras,faces
ouviu,he heard
próximo,next
médico,doctor
pensa,thought
ligar,turn on
pior,worst
força,force
mostrar,Show
país,country
acontece,it happens
fogo,fire
entende,you see
baixo,low
sob,under
acabar,to finish
continuar,Continue
estiver,you are
lembro,I remember
dizem,They say
srta,MS
vendo,seeing
luz,light
jogar,play
livro,book
adeus,bye
perguntar,to ask
existe,exists
manter,to maintain
fazem,do
cedo,early
querer,want
desculpa,excuse
jack,jack
semanas,weeks
vim,I came
estes,these
começou,it started
hospital,hospital
atenção,Warning
seis,six
linda,beautiful
último,last
chamar,Call
escritório,office
rei,king
falei,I spoke
estávamos,we were
especial,Special
comprar,purchase
após,after
resto,rest
fiquei,stayed
alô,hello
saiu,it went out
ganhar,to win
controle,control
fico,I am
brincando,playing
volte,come back
si,si
nesta,in this
garotas,girls
queremos,we want
presidente,chairman
pegou,he picked up
real,real
devem,must
aonde,where
precisar,need
negócio,business
doutor,doctor
esteve,was
encontro,date
pelos,by the
escute,Listen
finalmente,finally
estado,state
pé,foot
cuidar,take care
ama,love
armas,weapon
rua,road
sam,sam
aqueles,those ones
umas,some
dólares,dollars
fato,fact
sentido,sense
pequena,little
prisão,prison
casar,to marry
trabalhando,Working
escolha,choice
puta,bitch
amiga,friend
sozinha,by herself
próprio,own
cabelo,hair
deste,of this
estivesse,it was
engraçado,funny
policial,policeman
ai,there
perfeito,Perfect
passou,passed on
alto,high
palavras,words
livre,free
mente,mind
s,s
seguro,safe
menina,girl
própria,own
bonito,pretty
futuro,future
pro,pro
entendi,I understood
esqueça,forget it
respeito,respect
tio,uncle
entender,to understand
uh,uh
estará,will be
visto,visa
estas,these
agente,agent
sinal,signal
grupo,group
andar,to walk
presente,gift
milhões,millions
rosto,face
mesa,table
dor,pain
foto,Photograph
leve,Light
partir,leave
consegui,I achieved
sexo,sex
voz,voice
assassino,assassin
pense,think
chamado,called
daí,so
sai,leaves
pediu,he requested
jesus,Jesus
situação,situation
olhando,looking
perdeu,lost
you,you
ar,air
tom,tone
voltou,it returned
grandes,big ones
modo,mode
viagem,travel
sistema,system
simples,simple
linha,line
achou,he thought
entendeu,he understood
estive,I have been
salvar,to save
boas,good
conhecer,to meet
estaria,it would be
emprego,job
chama,flame
bonita,pretty
conosco,with us
melhores,best
dez,ten
mensagem,message
michael,Michael
contou,said
idade,age
crime,crime
questão,question
trazer,bring
usando,using
local,place
simplesmente,simply
lindo,pretty
tente,try
encontrei,I found
ficará,will be
acredita,belief
levou,it took
precisam,need
farei,I will do
doente,sick
natal,Christmas
professor,teacher
odeio,I hate
rapaz,boy
motivo,reason
disseram,They said
fizeram,made
seguir,follow
ótima,excellent
programa,program
campo,field
normal,normal
continue,continues
vontade,will
graças,grace
menino,boy
sol,Sun
hey,hey
soube,knew
acabei,I finished
perguntas,questions
surpresa,surprise
lista,list
sonho,dream
olho,eye
terminar,finish
irei,I will go
resposta,answer
beber,to drink
ordem,order
encontrou,found
senhores,sirs
peguei,I caught
hotel,Hotel
caixa,Cashier
quente,warm
povo,people
acidente,accident
erro,mistake
precisava,needed
diria,would say
advogado,attorney
us,US
mortos,dead
aniversário,birthday
joe,Joe
inferno,hell
ataque,attack
david,David
charlie,Charlie
vale,Valley
frank,Frank
fotos,Photos
show,show
abrir,Open
parabéns,Happy birthday
fome,hungry
voce,you
tiver,have
ficando,staying
totalmente,totally
morta,dead
loja,store
naquela,at that
energia,energy
conversa,conversation
pelas,by
espaço,space
serviço,service
monte,mate
assassinato,murder
lei,law
negócios,Business
banco,Bank
reunião,meeting
estarei,I will be
completamente,completely
george,George
divertido,funny
ligou,turned on
segunda,Monday
perdi,I've lost
fundo,background
lutar,fight
pudesse,could
explicar,explain
fomos,we were
tome,take
notícias,News
céu,sky
trabalha,works
exército,army
mês,month
mike,Mike
parecia,it
passa,raisin
fará,will make
continua,to be continued
dei,Dei
tire,remove
olhada,look
tivemos,we had
carta,Letter
lembrar,to remember
roupas,clothes
contato,contact
detetive,detective
passada,last
fizemos,We did
papel,paper
área,area
governo,government
abra,open it
interessante,interesting
horrível,horrible
luta,fight
ben,Ben
dando,giving
beleza,beauty
certamente,Certainly
apartamento,apartment
banheiro,Restroom
mudou,has changed
capaz,able
metade,a half
penso,perse
funciona,it works
tentei,I Tried
procurar,Search for
tradução,Translation
velha,old
triste,sad
prometo,promise
prova,test
barco,boat
bons,Good
tentou,tried
hein,huh
quantos,how many
senti,feeling
decisão,decision
tenente,lieutenant
bebida,drink
teremos,we will have
tv,TV
através,through
conselho,advice
avião,plane
juro,swear
saindo,going out
ler,to read
nela,in it
tocar,touch
breve,short
pronta,ready
ligue,call
frio,cold
bar,Pub
anda,ride
missão,mission
chave,key
lamento,am sorry
tinham,had
impossível,impossible
peça,ask
igreja,church
namorado,boyfriend
terrível,terrible
maravilhoso,amazing
namorada,girlfriend
haver,be
maioria,majority
tendo,by having
segredo,secret
leva,takes
verdadeiro,real
viva,live
naquele,in that
saiba,know
roupa,clothing
sete,seven
vítima,victim
drogas,drug
nave,nave
assunto,Subject
mandou,mandated
imediatamente,immediately
diferentes,many different
ajude,help
cair,to fall
tu,you
fazemos,We do
ouro,gold
loucura,craziness
time,team
vidas,lives
pobre,poor
ouvindo,listening
mar,sea
né,huh
faremos,we will do
puder,can
vista,View
começa,begins
alma,soul
aposto,bet
desses,of these
fazia,made
paul,Paul
general,general
mestre,teacher
adoro,I adore
senhorita,miss
celular,cell
oficial,official
cavalo,horse
companhia,company
somente,only
esquecer,forget
james,James
peter,peter
parecer,seem
serão,will be
padre,priest
começo,start
louca,crazy
buscar,search
esperava,expected
mau,bad
dito,said
centro,center
época,era
estrada,road
carne,meat
vestido,dress
posição,position
cheio,full
fugir,to escape
meninas,girls
teste,test
entrou,came in
maldito,damn you
chamada,call
ligação,Link
saúde,health
diferença,difference
junto,together
planeta,planet
duro,hard
passo,step
bela,lovely
teu,your
proteger,protect
longo,far away
cachorro,puppy
chegando,arriving
embaixo,below
coloque,place
max,Max
delas,from them
guarda,guard
escrever,write
conheci,I knew
cliente,client
igual,equal
mandar,to send
bater,hit
falo,I speak
pensou,thought
basta,enough
gostei,liked it
encontramos,we find
porquê,because
costas,back
provar,to test
segundos,second
lugares,places
esquerda,left
ambos,both
coronel,colonel
chame,cuddle
pés,foot
direita,right
acredite,believe it
aprender,learn
correr,run
empresa,company
dessas,of these
últimos,last
cérebro,brain
informação,information
perigo,danger
bola,ball
acham,They find
relação,relationship
doce,sweet
desculpas,excuses
garotos,boys
destino,destiny
sentindo,feeling
deixei,let
branco,white
quais,which
gostar,like
cerca,fence
cerveja,beer
resolver,solve
serei,Will be
regras,rules
cena,scene
creio,I believe
norte,north
público,public
caiu,fell out
sentar,to sit
tiro,shot
oportunidade,opportunity
to,to
cozinha,kitchen
ficaria,would stay
tia,aunt
inteligente,intelligent
poderíamos,we could
toque,Touch
propósito,purpose
chá,tea
várias,various
base,base
york,York
faculdade,college
humano,human
graça,grace
ordens,orders
lidar,to deal
direto,direct
sul,south
comandante,commander
cantar,sing
henry,Henry
honra,honor
and,and
trem,train
ação,action
importo,import
senhoras,ladies
prontos,ready
depressa,quickly
direção,direction
perigoso,dangerous
confiar,trust
sargento,sergeant
existem,exist
oito,eight
animais,animals
cheiro,smell
experiência,experience
clube,club
mary,Mary
queira,want
volto,back
sonhos,dreams
esqueci,forgot it
estúpido,Stupid
justo,fair
janela,window
rio,river
corte,cut
saco,bag
sucesso,success
quantas,how many
lixo,trash
desejo,desire
aceitar,to accept
pedi,I asked
deveríamos,we should
quão,how
escuta,listening
vinho,wine
necessário,required
terei,I will have
preocupado,concerned
saída,exit
dançar,to dance
poderá,may
rainha,queen
comum,common
liberdade,freedom
pega,handle
entendido,understood
disto,of this
tempos,times
tanta,so much
dormindo,sleeping
tribunal,court
chamou,called
verão,summer
repente,suddenly
tua,your
steve,Steve
parecem,they look
vender,sell
belo,beautiful
máquina,machine
silêncio,silence
tínhamos,We had
informações,information
receber,to receive
meia,half
passei,I passed
mentira,lie
paris,Paris
exemplo,example
contrário,contrary
raiva,rage
aula,classroom
conseguimos,we achieved
ora,now
socorro,help
la,there
lhes,them
liga,turns on
escolher,choose
tornar,become
cadê,where is it
humanos,humans
ligo,turnar
preocupar,concern
dou,DOU
venham,come
uau,Wow
atirar,shoot
azul,blue
lua,moon
pressão,pressure
série,series
perdido,lost
jamais,never
vermelho,red
exceto,except
colocou,placed
legenda,subtitle
inteiro,whole
comando,command
harry,Harry
cartão,card
paciente,patient
diretor,director
esperança,hope
ilha,island
câmera,camera
notícia,news
errada,wrong
sarah,Sarah
danny,Danny
revisão,revision
devagar,slowly
parem,stop
achamos,We found
banho,bath
américa,America
traga,bring on
conte,count
bolsa,handbag
usa,user
excelente,great
andando,walking
alta,high
jimmy,Jimmy
bob,Bob
aquelas,those
bomba,bomb
adam,Adam
preço,price
iremos,we will
alex,Alex
vive,live
esconder,to hide
jim,Jim
arte,art
começando,starting
jovens,young people
passando,passing
t,T
ocupado,occupied
bill,Bill
jane,jane
pedido,request
cão,dog
sequer,even
parceiro,partner
suspeito,suspect
pele,skin
nível,level
opinião,opinion
pista,track
emergência,emergency
computador,computer
seguinte,Following
planos,plans
policiais,cops
irmãos,brothers
daquele,that
ônibus,bus
batalha,battle
nick,nick
rádio,radio
acaba,ends
prefiro,I prefer
tony,Tony
fiquem,stay
perdão,pardon
haverá,there will be
livros,books
apesar,although
justiça,justice
dança,dance
braço,arm
costumava,I used to
will,Will
líder,leader
cale,cale
pego,caught
vergonha,shame
criar,create
almoço,lunch
coragem,courage
risco,risk
som,sound
pude,can
roubar,steal
vários,several
roubou,he stole
negro,black
espírito,spirit
cansado,tired out
defesa,defense
gostou,liked
principal,main
novos,new
fbi,FBI
bunda,butt
especialmente,especially
peço,I ask
cartas,cards
enorme,huge
funcionar,work
imaginar,to imagine
inimigo,enemy
ganhou,has won
brilhante,brillant
entra,goes into
londres,London
julgamento,judgment
cheia,full
pernas,legs
don,Don
aparecer,appear
longa,long
trata,treat
tirou,took out
juiz,judge
estrela,star
ficam,stay
segura,safe
gay,gay
piada,joke
mora,moon
felizes,happily
inteira,entire
realidade,reality
d,D
procura,demand
relatório,report
dizia,he said
saiam,skirt
sapatos,shoes
irão,Iran
estação,season
falamos,We talk
restaurante,restaurant
responsável,responsible
merece,deserve
diante,against
flores,flowers
carros,cars
billy,Billy
novas,new
viram,They saw
percebi,I noticed
dúvida,doubt
conhecemos,We know
provas,evidences
sejam,be
evitar,avoid
alvo,target
tenham,have
nomes,names
pedaço,chunk
destruir,to destroy
gato,cat
classe,class
apareceu,appeared
cheguei,I arrived
subir,ride up
brincar,to play
buraco,hole
ido,gone
meninos,boys
infelizmente,unfortunately
soldados,soldiers
gentil,kindly
herói,hero
usou,used
cadeia,chain
filmes,films
morrendo,dying
it,IT
acima,above
gelo,ice
corrida,running
xerife,sheriff
caramba,damn it
busca,search
suponho,suppose
visão,vision
estás,these
richard,Richard
investigação,investigation
yeah,yeh
pedindo,asking
limpar,clean
árvore,tree
mentindo,lying
soubesse,knew
inglês,English
eua,USA
estranha,strange
vídeo,video
início,start
fizer,do
correndo,running
endereço,address
prédio,building
tommy,Tommy
tamanho,size
praia,beach
vieram,came
nervoso,nervous
havendo,there
laboratório,laboratory
parede,wall
brincadeira,Just kidding
amar,love
cortar,cut
entrada,Prohibited
cor,color
super,super
johnny,Johnny
descobriu,found
vemos,we see
matei,killed
natureza,nature
metros,meters
ray,ray
idiotas,idiots
testemunha,witness
projeto,project
carreira,career
deixando,letting
navio,ship
limpo,clean
comecei,started
código,code
responder,answer
gostava,I liked
movimento,movement
ridículo,ridiculous
estilo,style
bravo,angry
jornal,newspaper
terminou,finished
bêbado,drunk
pedra,stone
animal,animal
inocente,innocent
toma,tone
fé,faith
mudança,change
escreveu,he wrote
dados,Dice
poderiam,they could
peixe,fish
jake,jake
americano,American
velhos,velhos
memória,memory
departamento,Department
pergunte,ask
contigo,with you
confiança,confidence
estrelas,stars
absolutamente,absolutely
afinal,in the end
contas,bills
adoraria,I would love
floresta,forest
total,total
dirigir,to drive
obviamente,obviously
m,m
episódio,episode
vimos,saw
major,major
pescoço,neck
mark,Mark
olhem,look
preparar,prepare
mantenha,Keep
amy,Amy
grávida,pregnant
vejam,see
processo,process
clientes,customers
entregar,deliver
temporada,season
diabo,devil
cadeira,chair
maria,Mary
soldado,Soldier
esperem,wait
pôr,per
tira,strip
assistir,to watch
agradeço,appreciate
coma,with the
agradecer,to thank
eddie,Eddie
chris,Chris
férias,vacation
desafio,challenge
monstro,monster
histórias,stories
redor,surrounding
sentimentos,feelings
menor,smaller
virar,to turn
perna,leg
operação,operation
esqueceu,he forgot
chegamos,We arrived
of,of
visita,visit
caro,expensive
imagem,Image
escapar,escape
bala,bullet
cristo,Christ
apresentar,to introduce
conhecia,knew
distância,distance
chorar,to cry
faca,Knife
van,van
vencer,overcome
definitivamente,definitely
particular,particular
amava,AMAV
nariz,nose
par,pair
fantástico,Fantastic
milhares,thousands
pontos,spots
braços,arms
branca,white
dado,given away
nove,nine
perfeita,perfect
perguntou,He asked
beijo,kiss
quieto,still
prestes,self -assessment
decidir,decide
troca,exchange
ficarei,I will stay
verde,green
seguida,followed
universo,universe
uso,use
virá,will come
abaixo,below
antigo,old one
li,Li
madame,Madame
passe,pass
apoio,support
robert,Robert
moça,girl
mercado,Marketplace
imagino,I suppose
escuro,dark
bolo,cake
conhecido,known
banda,band
use,use
detalhes,Details
sr,MR
valor,value
recebi,I received
doença,illness
relógio,clock
caminhão,truck
médicos,doctors
rico,rich
espécie,species
sabendo,knowing
culpado,guilty
presa,prey
perdendo,losing
dentes,teeth
barulho,noise
tornou,Torn
ryan,Ryan
cavalos,horses
agradável,nice
arrumar,to arrange
poucos,few
baby,Baby
parou,stopped
máximo,maximum
política,policy
majestade,majesty
gostam,like
parque,park
kevin,Kevin
ponha,put
leite,milk
quebrar,break
concordo,I agree
discutir,to discuss
desistir,to give up
comprou,bought
levantar,rise
perdemos,we lost
salvou,saved
daquela,that
velocidade,velocity
éramos,we were
bobby,bobby
comece,start
avó,grandmother
cirurgia,surgery
milhão,million
acesso,access
chaves,keys
machucar,hurt
marca,brand
dever,to owe
cinema,movie theater
vêm,he comes
nao,not
relaxe,Relax
hum,Hmm
livrar,rid
mesmos,same
vento,wind
chamam,They call
preocupada,concerned
encontrado,found
ajudou,helped
depende,It depends
ficamos,We stayed
verdadeira,true
acabado,finished
recebeu,it received
portanto,therefore
sobreviver,survive
ti,you
fechar,close
ganha,won
permissão,permission
jogando,Playing
noites,nights
levando,leading
princesa,Princess
maldição,curse
disser,say
vadia,bitch
ruas,streets
possamos,we can
briga,argument
manda,sends
pensava,thought
desapareceu,it disappeared
vítimas,victims
bateu,it hit
anel,ring
pago,paid out
maldita,nasty
normalmente,usually
parado,stopped
dono,owner
descansar,rest
maravilhosa,Wonderful
come,eats
km,km
tiveram,had
ponte,bridge
noiva,fiancee
termos,terms
casado,married
língua,tongue
ouvido,ear
peso,Weight
trocar,to exchange
debaixo,under
fugiu,ran away
lee,lee
unidos,United
estaremos,will be
in,in
tomou,took
comprei,I bought
correto,correct
relacionamento,relationship
obter,get
controlar,to control
daniel,Daniel
humana,human
calças,pants
martin,martin
matt,Matt
orgulho,pride
der,der
acordar,to wake up
daria,would give
interesse,interest
garrafa,bottle
mostre,show
estados,States
façam,Do
mentir,to lie
dedos,fingers
eric,Eric
contrato,contract
salvo,saved
charles,charles
sentado,seated
dna,DNA
aberta,open
ameaça,threat
deveriam,should
esperto,clever
corpos,bodies
americanos,Americans
conheceu,met
descer,come down
vovó,grandfather
perguntando,asking
deram,they
casos,case
decidiu,decided
futebol,football
camisa,shirt
odeia,hate
forças,forces
lar,home
aparentemente,Apparently
avô,grandmother
descobri,I discovered
querendo,wanting
brian,Brian
maiores,larger
central,central
nacional,national
sociedade,society
táxi,taxi
voar,to fly
luzes,lights
agir,Act
enviar,submit
teoria,theory
veremos,we'll see
oferta,offer
cansada,weary
frança,France
inglaterra,England
preto,black
ligado,switched on
mr,MR
resultado,result
profissional,professional
direi,direct
antiga,old
rachel,rachel
responda,reply
traz,brow
perda,loss
fantasma,ghost
altura,height
dan,dan
calor,heat
devíamos,we should
maluco,mad
ê,and
assistente,assistant
contei,I have
vitória,victory
perguntei,I asked
números,numbers
feita,made
adorável,adorable
chapéu,hat
divertir,enliven
kelly,Kelly
morar,to live
jardim,garden
colega,co-worker
verá,will see
senão,if no
verificar,check
príncipe,Prince
scott,scott
porco,pig
mostra,show
pessoalmente,in person
natural,Natural
decidi,I decided
terão,will have
serem,be
enfim,anyway
cai,falls
fonte,source
motorista,driver
confie,trust
escolheu,he chose
visitar,visit
diversão,fun
universidade,university
terceiro,third
juntar,get together
unidade,unity
responsabilidade,responsibility
firme,firm
artista,artist
deixado,left
liguei,I turned on
pesquisa,search
pressa,hurry
rapidamente,quickly
momentos,moments
consertar,to repair
legendas,subtitles
anna,anna
próximos,next
servir,serve
okay,Okay
usado,used
cala,shut
quebrou,broke
voltei,I went back
al,al
escrito,written
ficaram,stayed
casal,couple
simon,Simon
casas,houses
oeste,west
tantas,so many
larry,Larry
interessado,interested
tô,Tô
casaco,coat
aberto,open
encontre,find
lisa,Lisa
canção,song
chuva,rain
quisesse,would
espada,sword
pequenos,small
bordo,edge
voltando,returning
demorar,to take time
ensinar,teach
achava,I found
mata,Woods
acabamos,we are done
mentiu,lying
jeff,Jeff
acaso,chance
portas,doors
valeu,it cost
pensam,They think
modelo,model
dedo,finger
sábado,Saturday
pertence,belong
baile,prom
pegamos,we take
geral,general
atrasado,late
parada,stop
viemos,We came
torna,become
ajudando,Helping
my,My
chegaram,They arrived
entanto,however
dão,dão
seguindo,following
proteção,protection
fita,ribbon
armário,cabinet
b,B
chamando,calling
thomas,Thomas
washington,Washington
kate,kate
santo,Holy
crédito,credit
segure,hold
jogos,games
dói,It hurts
imprensa,press
jason,Jason
honesto,honest
aviso,Warning
acampamento,camping
atirou,shot
serve,it suits
coloquei,I placed
vovô,grandfather
queriam,They wanted
interessa,interest
objetivo,objective
grana,money
construir,ramp up
inimigos,enemies
sensação,sensation
mande,send
competição,competition
militar,military
paga,pay
funcionando,working
corra,run
morre,dies
orgulhoso,proud
tenta,try
besteira,nonsense
nasceu,was born
propriedade,property
darei,will give
partido,broken
enfermeira,nurse
rir,to laugh
enviou,You sent
encontraram,found
roubo,theft
apaixonado,in love
membro,member
chocolate,chocolate
internet,Internet
domingo,Sunday
segredos,secrets
mandei,I sent
deseja,wishes
corredor,Hall
sinais,signals
material,material
sexual,sexual
devido,due
smith,Smith
acorde,wake up
lance,throw
ovos,eggs
lago,lake
atacar,attack
primo,cousin
toca,tap
felicidade,happiness
saí,leaves
levante,raise
partes,parts
membros,members
presos,prisoners
pão,bread
carona,ride
montanha,Mountain
passagem,ticket
prefeito,mayor
confusão,confusion
peito,chest
rock,rock
venho,I come
inútil,useless
vingança,revenge
topo,top
contente,happy
invés,instead
ferido,injured
humor,humor
curso,course
lição,lesson
aeroporto,airport
original,original
sentiu,felt
caralho,fuck
prêmio,award
exato,exactly
júri,jury
homicídio,murder
impedir,prevent
copo,glass
jerry,Jerry
foder,fuck
começamos,We started
tens,tens
